parameter,value,lower_bound,upper_bound,unit,status
Fasting Glucose,75.97,70.0,99.0,mg/dL,Normal
Fasting Glucose,75.53,70.0,99.0,mg/dL,Normal
Fasting Glucose,77.98,70.0,99.0,mg/dL,Normal
Fasting Glucose,85.78,70.0,99.0,mg/dL,Normal
Fasting Glucose,90.1,70.0,99.0,mg/dL,Normal
Fasting Glucose,88.68,70.0,99.0,mg/dL,Normal
Fasting Glucose,78.76,70.0,99.0,mg/dL,Normal
Fasting Glucose,96.37,70.0,99.0,mg/dL,Normal
Fasting Glucose,90.71,70.0,99.0,mg/dL,Normal
Fasting Glucose,85.92,70.0,99.0,mg/dL,Normal
Fasting Glucose,87.42,70.0,99.0,mg/dL,Normal
Fasting Glucose,82.4,70.0,99.0,mg/dL,Normal
Fasting Glucose,77.92,70.0,99.0,mg/dL,Normal
Fasting Glucose,80.74,70.0,99.0,mg/dL,Normal
Fasting Glucose,91.23,70.0,99.0,mg/dL,Normal
Fasting Glucose,71.83,70.0,99.0,mg/dL,Normal
Fasting Glucose,74.48,70.0,99.0,mg/dL,Normal
Fasting Glucose,72.65,70.0,99.0,mg/dL,Normal
Fasting Glucose,72.51,70.0,99.0,mg/dL,Normal
Fasting Glucose,93.78,70.0,99.0,mg/dL,Normal
Fasting Glucose,89.82,70.0,99.0,mg/dL,Normal
Fasting Glucose,83.83,70.0,99.0,mg/dL,Normal
Fasting Glucose,74.0,70.0,99.0,mg/dL,Normal
Fasting Glucose,84.28,70.0,99.0,mg/dL,Normal
Fasting Glucose,83.81,70.0,99.0,mg/dL,Normal
Fasting Glucose,75.97,70.0,99.0,mg/dL,Normal
Fasting Glucose,82.77,70.0,99.0,mg/dL,Normal
Fasting Glucose,81.85,70.0,99.0,mg/dL,Normal
Fasting Glucose,87.52,70.0,99.0,mg/dL,Normal
Fasting Glucose,88.03,70.0,99.0,mg/dL,Normal
Fasting Glucose,72.63,70.0,99.0,mg/dL,Normal
Fasting Glucose,81.23,70.0,99.0,mg/dL,Normal
Fasting Glucose,87.78,70.0,99.0,mg/dL,Normal
Fasting Glucose,84.58,70.0,99.0,mg/dL,Normal
Fasting Glucose,93.8,70.0,99.0,mg/dL,Normal
Fasting Glucose,88.64,70.0,99.0,mg/dL,Normal
Fasting Glucose,75.7,70.0,99.0,mg/dL,Normal
Fasting Glucose,73.29,70.0,99.0,mg/dL,Normal
Fasting Glucose,88.22,70.0,99.0,mg/dL,Normal
Fasting Glucose,72.14,70.0,99.0,mg/dL,Normal
Fasting Glucose,86.74,70.0,99.0,mg/dL,Normal
Fasting Glucose,95.99,70.0,99.0,mg/dL,Normal
Fasting Glucose,86.47,70.0,99.0,mg/dL,Normal
Fasting Glucose,81.58,70.0,99.0,mg/dL,Normal
Fasting Glucose,88.24,70.0,99.0,mg/dL,Normal
Fasting Glucose,83.41,70.0,99.0,mg/dL,Normal
Fasting Glucose,85.69,70.0,99.0,mg/dL,Normal
Fasting Glucose,96.02,70.0,99.0,mg/dL,Normal
Fasting Glucose,81.53,70.0,99.0,mg/dL,Normal
Fasting Glucose,96.54,70.0,99.0,mg/dL,Normal
Fasting Glucose,95.08,70.0,99.0,mg/dL,Normal
Fasting Glucose,76.56,70.0,99.0,mg/dL,Normal
Fasting Glucose,73.26,70.0,99.0,mg/dL,Normal
Fasting Glucose,74.08,70.0,99.0,mg/dL,Normal
Fasting Glucose,71.93,70.0,99.0,mg/dL,Normal
Fasting Glucose,73.91,70.0,99.0,mg/dL,Normal
Fasting Glucose,89.28,70.0,99.0,mg/dL,Normal
Fasting Glucose,73.31,70.0,99.0,mg/dL,Normal
Fasting Glucose,79.78,70.0,99.0,mg/dL,Normal
Fasting Glucose,93.5,70.0,99.0,mg/dL,Normal
Fasting Glucose,72.06,70.0,99.0,mg/dL,Normal
Fasting Glucose,92.71,70.0,99.0,mg/dL,Normal
Fasting Glucose,78.81,70.0,99.0,mg/dL,Normal
Fasting Glucose,74.53,70.0,99.0,mg/dL,Normal
Fasting Glucose,89.63,70.0,99.0,mg/dL,Normal
Fasting Glucose,87.87,70.0,99.0,mg/dL,Normal
Fasting Glucose,94.35,70.0,99.0,mg/dL,Normal
Fasting Glucose,90.64,70.0,99.0,mg/dL,Normal
Fasting Glucose,92.42,70.0,99.0,mg/dL,Normal
Fasting Glucose,78.81,70.0,99.0,mg/dL,Normal
Fasting Glucose,76.08,70.0,99.0,mg/dL,Normal
Fasting Glucose,91.04,70.0,99.0,mg/dL,Normal
Fasting Glucose,92.51,70.0,99.0,mg/dL,Normal
Fasting Glucose,97.3,70.0,99.0,mg/dL,Normal
Fasting Glucose,82.22,70.0,99.0,mg/dL,Normal
Fasting Glucose,81.16,70.0,99.0,mg/dL,Normal
Fasting Glucose,91.71,70.0,99.0,mg/dL,Normal
Fasting Glucose,80.34,70.0,99.0,mg/dL,Normal
Fasting Glucose,95.74,70.0,99.0,mg/dL,Normal
Fasting Glucose,93.85,70.0,99.0,mg/dL,Normal
Fasting Glucose,82.65,70.0,99.0,mg/dL,Normal
Fasting Glucose,91.05,70.0,99.0,mg/dL,Normal
Fasting Glucose,91.14,70.0,99.0,mg/dL,Normal
Fasting Glucose,69.43,70.0,99.0,mg/dL,Borderline
Fasting Glucose,103.79,70.0,99.0,mg/dL,Borderline
Fasting Glucose,69.39,70.0,99.0,mg/dL,Borderline
Fasting Glucose,64.26,70.0,99.0,mg/dL,Borderline
Fasting Glucose,99.53,70.0,99.0,mg/dL,Borderline
Fasting Glucose,69.71,70.0,99.0,mg/dL,Borderline
Fasting Glucose,102.33,70.0,99.0,mg/dL,Borderline
Fasting Glucose,101.6,70.0,99.0,mg/dL,Borderline
Fasting Glucose,66.11,70.0,99.0,mg/dL,Borderline
Fasting Glucose,103.36,70.0,99.0,mg/dL,Borderline
Fasting Glucose,103.58,70.0,99.0,mg/dL,Borderline
Fasting Glucose,67.07,70.0,99.0,mg/dL,Borderline
Fasting Glucose,67.39,70.0,99.0,mg/dL,Borderline
Fasting Glucose,69.35,70.0,99.0,mg/dL,Borderline
Fasting Glucose,64.88,70.0,99.0,mg/dL,Borderline
Fasting Glucose,68.62,70.0,99.0,mg/dL,Borderline
Fasting Glucose,99.59,70.0,99.0,mg/dL,Borderline
Fasting Glucose,68.27,70.0,99.0,mg/dL,Borderline
Fasting Glucose,68.97,70.0,99.0,mg/dL,Borderline
Fasting Glucose,99.47,70.0,99.0,mg/dL,Borderline
Fasting Glucose,69.92,70.0,99.0,mg/dL,Borderline
Fasting Glucose,66.35,70.0,99.0,mg/dL,Borderline
Fasting Glucose,104.49,70.0,99.0,mg/dL,Borderline
Fasting Glucose,103.37,70.0,99.0,mg/dL,Borderline
Fasting Glucose,64.68,70.0,99.0,mg/dL,Borderline
Fasting Glucose,102.24,70.0,99.0,mg/dL,Borderline
Fasting Glucose,69.46,70.0,99.0,mg/dL,Borderline
Fasting Glucose,67.06,70.0,99.0,mg/dL,Borderline
Fasting Glucose,66.92,70.0,99.0,mg/dL,Borderline
Fasting Glucose,64.89,70.0,99.0,mg/dL,Borderline
Fasting Glucose,67.97,70.0,99.0,mg/dL,Borderline
Fasting Glucose,102.38,70.0,99.0,mg/dL,Borderline
Fasting Glucose,101.17,70.0,99.0,mg/dL,Borderline
Fasting Glucose,69.24,70.0,99.0,mg/dL,Borderline
Fasting Glucose,69.79,70.0,99.0,mg/dL,Borderline
Fasting Glucose,69.83,70.0,99.0,mg/dL,Borderline
Fasting Glucose,69.37,70.0,99.0,mg/dL,Borderline
Fasting Glucose,104.76,70.0,99.0,mg/dL,Borderline
Fasting Glucose,67.41,70.0,99.0,mg/dL,Borderline
Fasting Glucose,102.03,70.0,99.0,mg/dL,Borderline
Fasting Glucose,103.04,70.0,99.0,mg/dL,Borderline
Fasting Glucose,67.84,70.0,99.0,mg/dL,Borderline
Fasting Glucose,104.23,70.0,99.0,mg/dL,Borderline
Fasting Glucose,65.83,70.0,99.0,mg/dL,Borderline
Fasting Glucose,104.16,70.0,99.0,mg/dL,Borderline
Fasting Glucose,67.8,70.0,99.0,mg/dL,Borderline
Fasting Glucose,65.29,70.0,99.0,mg/dL,Borderline
Fasting Glucose,66.25,70.0,99.0,mg/dL,Borderline
Fasting Glucose,99.45,70.0,99.0,mg/dL,Borderline
Fasting Glucose,104.72,70.0,99.0,mg/dL,Borderline
Fasting Glucose,114.26,70.0,99.0,mg/dL,Critical
Fasting Glucose,61.26,70.0,99.0,mg/dL,Critical
Fasting Glucose,107.87,70.0,99.0,mg/dL,Critical
Fasting Glucose,119.16,70.0,99.0,mg/dL,Critical
Fasting Glucose,117.51,70.0,99.0,mg/dL,Critical
Fasting Glucose,112.25,70.0,99.0,mg/dL,Critical
Fasting Glucose,119.91,70.0,99.0,mg/dL,Critical
Fasting Glucose,50.07,70.0,99.0,mg/dL,Critical
Fasting Glucose,61.22,70.0,99.0,mg/dL,Critical
Fasting Glucose,107.66,70.0,99.0,mg/dL,Critical
Fasting Glucose,111.61,70.0,99.0,mg/dL,Critical
Fasting Glucose,119.5,70.0,99.0,mg/dL,Critical
Fasting Glucose,113.11,70.0,99.0,mg/dL,Critical
Fasting Glucose,53.59,70.0,99.0,mg/dL,Critical
Fasting Glucose,61.99,70.0,99.0,mg/dL,Critical
Fasting Glucose,122.2,70.0,99.0,mg/dL,Critical
Fasting Glucose,114.59,70.0,99.0,mg/dL,Critical
Fasting Glucose,121.25,70.0,99.0,mg/dL,Critical
Fasting Glucose,109.32,70.0,99.0,mg/dL,Critical
Fasting Glucose,51.54,70.0,99.0,mg/dL,Critical
Fasting Glucose,115.46,70.0,99.0,mg/dL,Critical
Fasting Glucose,59.24,70.0,99.0,mg/dL,Critical
Fasting Glucose,111.22,70.0,99.0,mg/dL,Critical
Fasting Glucose,59.24,70.0,99.0,mg/dL,Critical
Fasting Glucose,118.3,70.0,99.0,mg/dL,Critical
Fasting Glucose,119.67,70.0,99.0,mg/dL,Critical
Fasting Glucose,114.69,70.0,99.0,mg/dL,Critical
Fasting Glucose,111.99,70.0,99.0,mg/dL,Critical
Fasting Glucose,50.11,70.0,99.0,mg/dL,Critical
Fasting Glucose,115.7,70.0,99.0,mg/dL,Critical
HbA1c,5.09,4.0,5.6,%,Normal
HbA1c,4.39,4.0,5.6,%,Normal
HbA1c,4.28,4.0,5.6,%,Normal
HbA1c,4.1,4.0,5.6,%,Normal
HbA1c,4.58,4.0,5.6,%,Normal
HbA1c,4.93,4.0,5.6,%,Normal
HbA1c,4.64,4.0,5.6,%,Normal
HbA1c,4.71,4.0,5.6,%,Normal
HbA1c,5.38,4.0,5.6,%,Normal
HbA1c,4.58,4.0,5.6,%,Normal
HbA1c,4.82,4.0,5.6,%,Normal
HbA1c,5.21,4.0,5.6,%,Normal
HbA1c,4.65,4.0,5.6,%,Normal
HbA1c,4.98,4.0,5.6,%,Normal
HbA1c,5.32,4.0,5.6,%,Normal
HbA1c,5.45,4.0,5.6,%,Normal
HbA1c,4.29,4.0,5.6,%,Normal
HbA1c,5.41,4.0,5.6,%,Normal
HbA1c,4.79,4.0,5.6,%,Normal
HbA1c,4.45,4.0,5.6,%,Normal
HbA1c,4.74,4.0,5.6,%,Normal
HbA1c,5.49,4.0,5.6,%,Normal
HbA1c,4.79,4.0,5.6,%,Normal
HbA1c,4.55,4.0,5.6,%,Normal
HbA1c,4.99,4.0,5.6,%,Normal
HbA1c,4.43,4.0,5.6,%,Normal
HbA1c,4.19,4.0,5.6,%,Normal
HbA1c,4.27,4.0,5.6,%,Normal
HbA1c,4.26,4.0,5.6,%,Normal
HbA1c,4.3,4.0,5.6,%,Normal
HbA1c,4.28,4.0,5.6,%,Normal
HbA1c,5.0,4.0,5.6,%,Normal
HbA1c,4.34,4.0,5.6,%,Normal
HbA1c,4.58,4.0,5.6,%,Normal
HbA1c,5.37,4.0,5.6,%,Normal
HbA1c,4.76,4.0,5.6,%,Normal
HbA1c,5.04,4.0,5.6,%,Normal
HbA1c,4.33,4.0,5.6,%,Normal
HbA1c,4.36,4.0,5.6,%,Normal
HbA1c,4.14,4.0,5.6,%,Normal
HbA1c,4.32,4.0,5.6,%,Normal
HbA1c,4.48,4.0,5.6,%,Normal
HbA1c,4.33,4.0,5.6,%,Normal
HbA1c,4.21,4.0,5.6,%,Normal
HbA1c,4.25,4.0,5.6,%,Normal
HbA1c,4.74,4.0,5.6,%,Normal
HbA1c,4.38,4.0,5.6,%,Normal
HbA1c,4.6,4.0,5.6,%,Normal
HbA1c,4.8,4.0,5.6,%,Normal
HbA1c,5.07,4.0,5.6,%,Normal
HbA1c,4.14,4.0,5.6,%,Normal
HbA1c,5.23,4.0,5.6,%,Normal
HbA1c,4.98,4.0,5.6,%,Normal
HbA1c,4.2,4.0,5.6,%,Normal
HbA1c,5.34,4.0,5.6,%,Normal
HbA1c,5.41,4.0,5.6,%,Normal
HbA1c,4.17,4.0,5.6,%,Normal
HbA1c,4.48,4.0,5.6,%,Normal
HbA1c,5.24,4.0,5.6,%,Normal
HbA1c,5.16,4.0,5.6,%,Normal
HbA1c,4.35,4.0,5.6,%,Normal
HbA1c,4.38,4.0,5.6,%,Normal
HbA1c,4.61,4.0,5.6,%,Normal
HbA1c,4.78,4.0,5.6,%,Normal
HbA1c,4.97,4.0,5.6,%,Normal
HbA1c,4.61,4.0,5.6,%,Normal
HbA1c,4.75,4.0,5.6,%,Normal
HbA1c,5.16,4.0,5.6,%,Normal
HbA1c,4.13,4.0,5.6,%,Normal
HbA1c,4.44,4.0,5.6,%,Normal
HbA1c,5.11,4.0,5.6,%,Normal
HbA1c,5.37,4.0,5.6,%,Normal
HbA1c,4.82,4.0,5.6,%,Normal
HbA1c,4.85,4.0,5.6,%,Normal
HbA1c,4.23,4.0,5.6,%,Normal
HbA1c,4.72,4.0,5.6,%,Normal
HbA1c,4.85,4.0,5.6,%,Normal
